commit_hash,message,is_bug_fix,category,reasoning
ca10c7d7b513f334ac52aff88c81661194d919a5,"relaxng: Added xmlRelaxNGValidCtxtClearErrors to recover from errors during streaming validation

This allows to perform XML element validation skipping errors without recreating
a validation context. Tested it in runsuite.c in the rngTestStreaming() method.

Also added xmlRegExecClearErrors(exec) as necessary.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
f92a7a50d35e9fb15c1bde23d45d23bcf28a45b7,"ci: Fix MSVC test by setting CMake generator manually

Visual Studio 2017 was removed from the Windows runners, but CMake still
picked it up for some reason.
",False,Build/CI/Tests,Tier 3 match: topic 'ci'
18bbdb51175f309aef40fa5254af34e322be7783,"dict: Rework reference counting

Use C11 atomics if available. Otherwise, fall back to pthread mutex
inlined in xmlDict struct or Win32 atomics.

This should fix lock contention reported in #970.
",True,Concurrency,Tier 2 match: fix keyword + priority topic 'mutex'
24caea6383183b01bd6372866d1031a77589fc24,"regexp: Avoid integer overflow and OOB array access

Limit size of 2D arrays to XML_MAX_ITEMS (1e9) to avoid overflow of int
indexes.

Fixes #950.
",True,Integer,Tier 1 match: 'integer overflow'
c4b278ecd37ac050efccd7b42cb15471667cf446,"valid: Undeprecate xmlAdd*Decl

Fixes #969.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
f1e1f13b766eb580a8dcc0c4e7a447346dfd862e,"tree: Guard against atype corruption

Always remove ids if `id` member is set.

Untested, but this should fix CVE-2025-7425 reported against libxslt:

https://gitlab.gnome.org/GNOME/libxslt/-/issues/140
",True,Security Vulnerability (CVE),"Tier 1 match: 'cve-\d{4}-\d{4,7}'"
152fbb60a9e16cce502ce541f0fa63b2097d9a12,"parser: Make sure to stop parser before checking max errors

Short-lived regression from 7a41b18c.
",False,Build/CI/Tests,Tier 3 match: topic 'regression'
149c04c02d350f6b4200ef906400c099e1ee9872,"html: Escape < and > when serializing attributes

This reverts the change in cdaf657f. Coincidentally, the HTML spec just
changed to mandate the old escaping behavior:

https://github.com/whatwg/html/issues/6235

Fixes #957.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
3b96ec75abed057247d0ace18a3a9455725991b7,"doc: Document deprecated default SAX handler globals
",False,Documentation,Tier 3 match: topic 'doc'
00314882ed7e5dfeae4220eec1e704956ed7b25c,"meson: Add -Wmissing-variable-declarations

Originally clang-only, gcc supports this option since version 14.

This catches errors like #961.
",False,Build/CI/Tests,Tier 3 match: topic 'meson'
37bd4b284a343a18be3bc49c0f53cec5d4d1b5f9,"globals: Include HTMLparser.h, fixing Windows build

Regressed with c011e760 and 85bd58ef.

Fixes #961.
",False,Build/CI/Tests,Tier 3 match: topic 'build'
43f7ff0a9edf26dcd1d751a73862d8853234ccf6,"tests: Make global variables static
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
843691609723daec0a5673bcb8a5bfeb2acfc64e,"doc: Add another warning to XML_PARSE_DTDVALID

While most parts of libxml2, including the parser, are still vulnerable
to such attacks, it is unlikely that DTD validation will ever be fixed.
",False,Build/CI/Tests,Tier 3 match: topic 'warning'
859899a87e0d0cff06fd6cd36841222a55a5a348,"doc: Document option handling of deprecated ""SAX1"" functions
",False,Documentation,Tier 3 match: topic 'doc'
ab4a7f3011a303f258bd9a7d31e08c18937902f3,"doc: Document deprecated xmlBuffer members
",False,Documentation,Tier 3 match: topic 'doc'
af464de1f3ff543d9ed33a3ade9d16d5cd7271b5,"io: Deprecate xmlOutputBuffer members
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
6c0188549b0b5bfad9abfbcee37ba09d66f2465c,"io: Deprecate xmlParserInputBuffer members
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
2cc77c3a8104c53ebbd925a7f9c64a33dc74549d,"fuzz: Stop using xmlParserInputBuffer
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
7deae0f80f15717961587dfaab697d2f6093a218,"python: Switch to *CreateIO functions

Avoid using deprecated struct members.
",False,Build/CI/Tests,Tier 3 match: topic 'python'
d1c3391eafd98d890475fd0c5f89c77934ac81e2,"tests: Silence testparser

Regressed with bd9d5e39.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
8689523ad9d82e725aba9a314b8070bb742f02c5,"parser: Implement xmlCtxtGetInputWindow

See #762.
",False,Feature/Enhancement,Tier 3 match: topic 'implement'
469c847f4d589567e02900d722e4ed7c4a2bce9c,"parser: Split out xmlParserInputGetWindow
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
8aaa53d712c1ec06cdb9e8b101280e7c4a69e920,"parser: Implement xmlCtxtGetInputPosition

See #762.
",False,Feature/Enhancement,Tier 3 match: topic 'implement'
144ed959a57c45cfb597a08ac72db4b586fd7e29,"parser: Move xmlSaturatedAdd to private header
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
e3daef5c7815a06664c4344e8ff890df2576301f,"parser: Fix xmlSaturatedAddSizeT argument type

This is only used for entity size accounting. The bug only affected
platforms where sizeof(long) != sizeof(size_t) and was probably
harmless.
",True,Parser Logic,Tier 2 match: fix keyword + priority topic 'parser'
a7fc9e1add064b48896ee4726ada8fc7b321a9ff,"parser: Add more parser context accessors

The only thing remaining is access to parser input, see #762.
",False,Feature/Enhancement,Tier 3 match: topic 'add'
a2562b9d8a0b6efd4f867bf64c24d6fa28460231,"doc: Improve documentation of error levels
",False,Documentation,Tier 3 match: topic 'doc'
7a41b18c6293b6aacc03f368601cf49c0a2d3079,"parser: Remove xmlHaltParser

Always halt the parser on resource limit and entity loop errors and
remove the remaining calls which seem unnecessary.
",False,Non-Maintenance,Tier 3 match: topic 'remove'
cdf4c6f1a20d372bed4d7d344b299d07f6a95c34,"doc: Mention XML_PARSE_NOERROR in more places
",False,Documentation,Tier 3 match: topic 'doc'
77700d3d0a14ad92f6da9cdd1b70b6bd9d79aaf9,"doc: Mention tree API bugs in old versions
",False,Documentation,Tier 3 match: topic 'doc'
c5e7ff09b2fab1fd06092b139f9f41131f982f51,"tree: More xmlNodeParseContent cleanup

- Rename to xmlNodeParseAttValue
- Rework argument types
- Remove wrapper function
",False,Refactoring,Tier 3 match: topic 'cleanup'
408bd0e18e6ddba5d18e51d52da0f7b3ca1b4421,"const up allowPCData

similar to htmlScriptAttributes
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
0a4fe2f94aa2ca57347de4ca9d5970e4fdf89627,"io: Fix argument type

See c70d88f1 and #951.
",True,Type System,Ambiguous bug classified by LLM
e11740574953cf83db3e1eb9e7e163a60e65cddf,"tree: Don't reference recursive entities in xmlNodeParseContent

Improve protection against entity cycles when using tree API.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
c70d88f19a169778e386db532d268321425e6cdd,"io: Fix reading from pipes like stdin on Windows

On Windows, lseek doesn't return an error on unseekable streams like
pipes.

Fixes #951.
",True,API Logic,"The commit fixes an issue where a function's behavior (lseek returning an error) deviates from expected behavior on a specific platform (Windows) when dealing with unseekable streams, violating its implicit contract."
8f1cc9151eddef63a78357ed8d2850ba096432a4,"CMake: Add selector to CMAKE_DL_LIBS transformation

At the time of writing, on AIX, the CMAKE_DL_LIBS is set to ""-lld"",
which presents the dependency for using dynamic loading on some old AIX
versions. This ensures that resulting list of linker flags on AIX is
also properly formatted (without adding additional ""-l"").
",False,Build/CI/Tests,Tier 3 match: topic 'cmake'
a3d2c17713aee26586feb4cc578bd2bbb9391dd9,"CMake: Fix dlopen check

Systems can have dlopen symbol in various libraries. For example, on
Haiku, dlopen is in 'root' library, which is linked by default.

The CMAKE_DL_LIBS variable is automatically set by CMake and contains
the name of the library or libraries that contain dynamic loading
functionality. CMakePushCheckState checks for the symbol in isolation,
so the required libraries variable can be modified.
",False,Build/CI/Tests,Tier 3 match: topic 'cmake'
4d69f91b25bae1e276bb38a0d91a54bade9e5e72,"valid: Make validation fail if warnings cause OOM error

Make xmlErrValidWarning return -1 on malloc failures.
",True,Memory,Tier 2 match: fix keyword + priority topic 'malloc'
0c948334a8f5c66d50e9f8992e62998017dc4fc6,"html: Add newline to error message
",True,Error Handling,Tier 2 match: fix keyword + priority topic 'error message'
bc0bb67b57e0c10fa804e225d2e7a5b31e2fcb9f,"html: Don't abort on encoding errors

Always enable recovery mode when parsing HTML, so we don't raise fatal
errors.

Regressed with 462bf0b7. Fixes #947.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
3773bb3f89426297dd82d8ad5998059898d5172a,"tree: Make sure that SIZE_MAX is defined
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
6340f39284aff5bd9ee5f4b177d89ea1e7756d2f,"doc: Document HTML type aliases
",False,Documentation,Tier 3 match: topic 'doc'
bd9d5e39ec31e935bb79308c0c83f9d03ef4b6f7,"parser: Fix handling of invalid char refs in recovery mode

Revert to the old behavior which handles invalid char refs more
gracefully. Probably regressed with 37c6618b (version 2.13.0).
",True,Parser Logic,Tier 2 match: fix keyword + priority topic 'parser'
6c796b37927ba0cd64cf4d1ac3b5820ae0aaffc6,"doc: Misc fixes
",False,Documentation,Tier 3 match: topic 'doc'
c7a9ef1d66f6f2240c28fec152cac3094530ca57,"doc: Document struct typedefs

Unfortunately, Doxygen's TYPDEF_HIDES_STRUCT option is too broken.
Document struct typedefs to make autolinks work.
",False,Documentation,Tier 3 match: topic 'doc'
71e1e8af5ee46dad1b57bb96cfbf1c3ad21fbd7b,"schematron: Fix memory safety issues in xmlSchematronReportOutput

Fix use-after-free (CVE-2025-49794) and type confusion (CVE-2025-49796)
in xmlSchematronReportOutput.

Fixes #931.
Fixes #933.
",True,Memory,Tier 1 match: 'use-after-free'
24d7e15914588cb45e7fb41cbe4fcf785e1a4861,"schematron: Complete fix for CVE-2025-49795

- Fix memory leaks
- Fix tests
",True,Memory,Tier 1 match: 'memory leak'
499bcb78ab389f60c2fd634ce410d4bb85c18765,"Schematron: Fix null pointer dereference leading to DoS

(CVE-2025-49795)

Fixes #932
",True,Security Vulnerability (CVE),"Tier 1 match: 'cve-\d{4}-\d{4,7}'"
069bcda17d8194e9582c64dd4bc9dac99b015810,"Fix potential buffer overflows of interactive shell

CVE-2025-6170

Fixes #941
",True,Security Vulnerability (CVE),"Tier 1 match: 'cve-\d{4}-\d{4,7}'"
c34742f3017f6d39f3e4ccae4f70172238160ef8,"tests: Fix build --without-output
",False,Build/CI/Tests,Tier 3 match: topic 'build'
9553695d17d5a25e9a2b39ed70307c9e5f85fdd1,"relaxng: Make xmlRelaxNGDump depend on debug option
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
9760a14fb962509f6fe0a4d0a81b706255fb4ab2,"relaxng: In the simplification step also unlink notAllowed refs from choice

This fixes false reports of non allowed content compared to notAllowed as tag within the choice tag.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
56a767ed58a31dd0115b9138b6baf5f9b55a7611,"doc: Small fix
",False,Documentation,Tier 3 match: topic 'doc'
0d52684e310a97feb3c707a1724c32bc3c4b46db,"parser: Don't set dict limit when setting options

This is done in xmlCtxtInitializeLate.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
1b737cc810fcacb52505bb5b5de66056eb4c26f4,"parser: Another fix to ]]> detection in push parser

The original fix for issue #850 in commit 9efe1414 was incomplete.
",True,Parser Logic,Tier 2 match: fix keyword + priority topic 'parser'
70dc8ca03dc3c78feeea89cb931e73e86a7baf59,"xpath: Add extra info to some error messages

Fixes #660.
",True,Parser Logic,Tier 2 match: fix keyword + priority topic 'xpath'
ac5fcb0e3476fcc635b75d14888f2215019ba712,"relaxng: ensure thread safe global initialization

Relying on a plain integer flag, with no synchronization primitives does
not give thread-safe initialization. All reads & writes of the
xmlSchemaTypesInitialized flag need to be protected by a mutex to ensure
suitable memory barriers & thus correct ordering wrt any speculative
execution.

A separate internal initializer tied to xmlParserInit is used to create
the mutex used for synchronization, similarly to how catalog.c works.

Signed-off-by: Daniel P. Berrangé <berrange@redhat.com>
",True,Concurrency,Tier 2 match: fix keyword + priority topic 'thread safe'
80798c406cd1c5bc762febdcbbe80be35981da0d,"xmlschemastypes: ensure thread safe global initialization

Relying on a plain integer flag, with no synchronization primitives does
not give thread-safe initialization. All reads & writes of the
xmlSchemaTypesInitialized flag need to be protected by a mutex to ensure
suitable memory barriers & thus correct ordering wrt any speculative
execution.

A separate internal initializer tied to xmlParserInit is used to create
the mutex used for synchronization, similarly to how catalog.c works.

Signed-off-by: Daniel P. Berrangé <berrange@redhat.com>
",True,Concurrency,Tier 2 match: fix keyword + priority topic 'thread safe'
63f98ee8a3a11f99db60c956746c0156e3a0ed52,"tests: Skip functions taking va_lists in testapi.c

See !325.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
d4355722c2f08b72351502a45c186268713c0806,"xmllint: Print document even in case of XInclude errors

Keep printing the document while still reporting XInclude errors to
match the old behavior.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
413cdfb34ae3643701dd0b46a30bfbd2e22b7910,"html: Fix push parsing of doctype decls

Don't set state to ""content"" as we might still be in ""misc"" or ""prolog"".
",True,Parser Logic,Tier 2 match: fix keyword + priority topic 'parsing'
ad0f5d27c457863c986c2ef447311b9e5d044f8c,"tree: Fix xmlGetNodePath

- Fix quadratic behavior
- Don't truncate names

Fixes #715.
",True,Performance,"The commit message explicitly states 'Fix quadratic behavior', which directly indicates a performance improvement."
22246f21c52ed974b42932592f7bc6c0b4fa2768,"schemas: Fix compilation with pre-C99 MSVC

Regressed with f307237e.

Fixes #944.
",False,Build/CI/Tests,Tier 3 match: topic 'compilation'
7cfa3a2650ae535a53356b247f093f6d35bb3cc7,"reader: Remove unused member xinclude_name
",False,Non-Maintenance,Tier 3 match: topic 'remove'
6c5b55523740103660709de3d90a4437fbd719cc,"debug: Remove obsolete handling of special case

The ""nbktext"" code was removed.
",False,Non-Maintenance,Tier 3 match: topic 'remove'
24628f2590db62ca8b2f217be3a6d72fb102b8de,"valid: Don't store attribute defaults in dictionary

In general, we should only use dicts for names and not values.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
600742f0f14469c808347179a01d0c8bade3deaf,"valid: Unconst local variable in xmlValidateElement
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
7c91385040ffab197f92135f7240e4d86b8f0cbb,"parser: Remove unnecessary dict checks when freeing strings

The following strings are never allocated from a dict:

- xmlParserCtxt.version
- xmlParserCtxt.encoding
- xmlParserCtxt.extSubURI
- xmlParserCtxt.extSubSystem
- xmlDoc.version
- xmlDoc.encoding
- xmlDoc.URL
- xmlDTD.ExternalID
- xmlDTD.SystemID
- xmlID.value

Also make the struct members point to non-const chars to avoid casts
when freeing.
",False,Non-Maintenance,Tier 3 match: topic 'remove'
607708b35f30be43da0ca63abc96604c2d188635,"valid: Don't store ID values in document's dictionary

ID values are unique. There's some potential for them to be reused as
references, but storing them in the dictionary can make the dictionary
grow in proportion to the document.

Users like lxml replace the `ids` hash table to avoid this. It seems
like a good idea to stop using the dictionary for ID values.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
ea91a507dd05d969b4b8a457fcf02b889ee8fca0,"doc: Generate documentation with Doxygen 1.14

The 1.14.0 release fixes a serious bug with autolinks.

Note that the downstream tests now run on Ubuntu with libxml2 and
libxslt built on Arch. This seems to work but could break at a later
point.

Fixes #929.
",False,Documentation,Tier 3 match: topic 'doc'
3652fc28ecda7c7f0985a9a39e4c320e731ada5d,"doc: Fix installation with newer Doxygen

Newer versions don't generate PNG files anymore. Simply use *.* as
wildcard.
",False,Documentation,Tier 3 match: topic 'doc'
404aedbd9776a0e3ab124607cd6394a55e90c44b,"doc: Improve xmllint documentation
",False,Documentation,Tier 3 match: topic 'doc'
dd2b4091fb159e8b97ec90d211d97f89c024caf5,"xmllint: Add --strict-namespace option

Use xmlCtxtGetStatus() after parsing. If status indicates a namespace error while the --strict-namespace option is enabled, xmllint will exit with XMLLINT_ERR_RDFILE error

Fixes #698
",True,Parser Logic,Tier 2 match: fix keyword + priority topic 'parsing'
bf26cf9d08c7ea1d0b54ed34de04be861194f8a4,"xmllint: Replace boolean application options with single flag member

Take all of the boolean application options and create a bitmask for each of them.  Then use just a single unsigned member to keep track off all of them (regardless of precompile directives)
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
be812e1e5a60ed910a86e0a36ee50171616d5014,"xmllint: Rename options -> parseOptions

Make it more obvious the options are related to XML parsing
",False,Refactoring,Tier 3 match: topic 'rename'
e7802738c619a15f55174bac3246ae82602f2d46,"parser: Don't load external content if only XML_SKIP_IDS is set

At some point, the `loadsubset` member was augmented to also control
handling of ID attributes in addition to loading of external DTDs. These
two features are unrelated and shouldn't have been mixed. This mistake
was probably inspired by the misnamed XML_DETECT_IDS flag. As a side
effect, setting XML_SKIP_IDS always enabled loading of external DTDs and
parameter entities.

This change makes it possible to ignore IDs without loading external
content. This is a deliberate API change that improves security and is
unlikely to affect users.

This also makes sure that the new XML_PARSE_SKIP_IDS option doesn't
enable unsafe behavior.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
b424bae705180a2d6df2db1767e33eeec73ac029,"html: Fix pull-parsing of initial comments and doctype decls

- Parse more bogus comments and multiple doctype declarations before
  switching to content.
- Grow buffer after parsing comment.
",True,Parser Logic,Tier 2 match: fix keyword + priority topic 'parsing'
1c96d5ef510f7d1feabd8972a62d12e8a54fcd81,"parser: Add comment in xmlStopParser
",False,Documentation,Tier 3 match: topic 'comment'
7e3818424a76f5c5eff4fc551438ee63082626fd,"include: s/char const/const char/
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
19139061fbf819368308564e90da611601b29214,"include: Define XMLPUBVAR directly

Using an intermediate macro confuses newer Doxygen versions for some
reason.
",False,Documentation,Tier 3 match: topic 'doxygen'
a4d25b3d933129dea81b1ae8f857681904620b21,"doc: Small fixes
",False,Documentation,Tier 3 match: topic 'doc'
cf4f967266d29df497e2b7ebfe65fa79a07544d0,"Add XML_PARSE_SKIP_IDS to replace XML_SKIP_IDS

Mark loadset member as deprecated

Fixes #873
",False,Feature/Enhancement,Tier 3 match: topic 'add'
1dcd3df20bb365f317eab4a350ca9dcf7654ac5e,"parser: Fix xmlCtxtIsStopped

Make xmlCtxtIsStopped check for fatal errors as well. This makes it
easier to migrate away from disableSAX.
",True,Parser Logic,Tier 2 match: fix keyword + priority topic 'parser'
9c6eebac17a12f28b4e81410d94013c26e90fae1,"xmllint: Fix --xinclude --path

Use resource loader for XInclude. Regressed with f96dca9c.
",True,API Logic,"The commit message indicates a regression in the behavior of the `--xinclude --path` options for `xmllint`, suggesting a problem with how the tool handles these specific API-level functionalities related to XML inclusion and search paths."
2963a0f13a0e4fa07eac6f4c89376aa9f39b3a9a,"tree: Undeprecate some members used by libxslt
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
477f9c6b20ef4a0745aefe735e9ebc7573a4fdae,"Fix CMake iconv handling after change to private dependency
",False,Build/CI/Tests,Tier 3 match: topic 'cmake'
a3992815b3d4caa4a6709406ca085c9f93856809,"parser: Fix buffer overflow when parsing PublicIds

Regressed with 8231c0366 and 30665ae4.
",True,Parser Logic,Tier 2 match: fix keyword + priority topic 'parser'
30665ae4d1a7de6e2f7db7c23042aedf4a9657c0,"parser: Fix parsing of PublicIds and VersionNums

Regressed in 8231c0366.

Fixes #940.
",True,Parser Logic,Tier 2 match: fix keyword + priority topic 'parser'
852b070fcd5a1d1928fa317ae3ac88845ee279c6,"Change comment style
",False,Refactoring,Tier 3 match: topic 'style'
bb7169b5ad77209989a7e60b530976618a7f0339,"Fix relaxng is parsed to an infinite attrs->next loop

Test data for the bug.
",False,Build/CI/Tests,Tier 3 match: topic 'test'
f428bdd1d9eb71b192dc31c5eb789097c67e5132,"xmllint: Make output options depend on LIBXML_OUTPUT_ENABLED
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
3e47ceeb728ab65fcb9d294977d6863c790ce259,"xmllint: Warn about options with no effect
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
2ffb8c96a3938fc0a3d0e0b9ff3ea8eb136cfbe5,"doc: Improve xmllint documentation

Group more options. Clarify effect of some parser options. Mention
streaming validation with `--sax`. Remove references to libxml(3).
",False,Documentation,Tier 3 match: topic 'doc'
6b50d8c8884df5e6c883a842458189fef22ddfec,"html: Add missing call to grow parser in htmlParseComment

Otherwise, long chains of short comments could exhaust the input buffer
when pull parsing.
",False,Feature/Enhancement,Tier 3 match: topic 'add'
70335c41fcab3b8be5cd4821a2d3ee2080631e2d,"html: Don't stop on unsupported encoding

Continue to parse unlike in the XML case.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
416da89d0becd4da3c76d1d8f0ba5552de191f11,"html: Make htmlCtxtReset call xmlCtxtReset

The two implementations shouldn't diverge.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
fa81e849be745faa922d312cb7380c4cf22b6849,"xmllint: Fix --memory --repeat

Always reset parser context.

Should fix #937.
",True,Memory,Tier 2 match: fix keyword + priority topic 'memory'
220c813e3581624994852c81d39476f92892e258,"globals: Fix documentation of xmlThrDef* functions
",True,General Logic Error,"The commit message indicates a documentation fix for global variables and functions, which suggests an error in how these elements were described rather than a functional defect in the code's logic or behavior."
7e08d93c94dfffe701b98a10cff02b16d5c5cb36,"doc: Improve documentation of tree data types
",False,Documentation,Tier 3 match: topic 'doc'
86cf217d34347ff860e2ff319755ee8d58711159,"build: Disable Schematron support by default
",False,Build/CI/Tests,Tier 3 match: topic 'build'
8da19f2320a99f2b2577f090f0e9654b669ddbbe,"doc: Add more warnings to xmlCleanupParser
",False,Documentation,Tier 3 match: topic 'doc'
7e4247b2781818fc41ac85d0b25a2281bb73b2e4,"parser: use XML_INT_TO_PTR when storing integers as pointers

This fixes warnings when using a CHERI-aware toolchain.

",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
c6206c93872fc91d98fbc61215c5618b629bf915,"html: Ignore ASCII-incompatible encoding in meta tag

After successfully parsing an ASCII-encoded meta tag, switching to an
encoding that isn't ASCII-compatible cannot work.
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
2b6b3945f2df548b56f2c73c490dda9781f92eb2,"Revert ""SAX1: Align handling of default attributes with SAX2""

This reverts commit db65b2fc51ef0d6e4d2e9dc65ba12fe948da49f3.

This didn't check for duplicate default attributes.
",False,Non-Maintenance,Tier 3 match: topic 'revert'
30375877d981be8ede8620b13c6928342d929b58,"parser: Fix custom SAX parsers without cdataBlock handler

Use characters handler if cdataBlock handler is NULL.

Regressed with 57e4bbd8. Should fix #934.
",True,Parser Logic,Tier 2 match: fix keyword + priority topic 'parser'
5e7c72cd5c3e619bbfde657bee990fff4429ef83,"doc: Misc fixes
",False,Documentation,Tier 3 match: topic 'doc'
5f8e537d0a36ac060a23b687cf2dad2fa2a7a266,"doc: Misc fixes to xpointer
",False,Documentation,Tier 3 match: topic 'doc'
1fc66d265a276c268d3ae1968e31e92b8f93b10a,"xmllint: Don't check for removed features
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
479f26f92fcfa09ea5230ef491a03ae2bce442b9,"regexp: Remove unfinished reimplementation

This was never enabled.
",False,Non-Maintenance,Tier 3 match: topic 'remove'
3d71ab4fa68c989e86dfc23fa7aef45c2fc4a098,"doc: Small fixes
",False,Documentation,Tier 3 match: topic 'doc'
0ab5d7c557194a9b378fd191afc5ecfc038a5b15,"entities: Deprecate internal DTD-related functions
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
347c2b2ec75ddea1de2ff3afcecfa5fde2fc2d24,"valid: Deprecate a few functions and `xmllint --insert`
",False,Feature/Enhancement,"Heuristic miss, assumed non-bug"
